30	200	0	2
40	0	0	2
50	500	0	2
80	50	0	2
85	150	0	2
90	250	0	2
95	350	0	2
130	200	0	11
140	0	0	2
150	100	0	11
160	400	0	2
170	150	0	11
170	100	0	-1
220	100	-10	4
250	300	-10	2
260	400	0	2
270	350	0	2
280	300	0	2
280	136	0	3
290	250	0	2
300	200	0	2
320	200	0	3
335	300	0	3
350	0	0	3
365	0	200	3
365	150	0	-1
380	400	500	3
380	265	0	2
400	300	0	4
400	100	0	4
430	400	0	2
450	200	0	2
470	0	200	2
480	0	200	2
490	400	200	2
500	50	0	3
500	400	0	11
515	60	0	3
530	70	0	3
510	0	100	11
545	350	0	3
560	340	0	3
530	400	100	11
575	330	0	3
575	50	0	-1
610	100	0	4
610	200	-10	4
630	400	200	3
645	400	200	3
680	0	0	1
690	0	0	1
700	0	0	1
710	0	0	1
720	0	0	1
710	0	100	3
725	400	100	3
740	200	0	3
755	300	0	3
730	500	0	1
750	500	0	1
770	500	0	1
770	300	0	4
790	500	0	1
810	500	0	1
900	150	0	5
